seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT16-02,0.44957393530091766,0.7937523520799988,0.3568503685789646,0.44957393530091766,0.44943155380844546,0.4488595254962753,0.4482183373420564,0.44713928856521157,0.4464051412534259,0.4455308749600962,0.4437359315176151,0.4403285028149715,0.4358142211227737,0.42845580248686305,0.41629733115898965,0.40045294131685877,0.3765912973410224,0.3353816755517829,0.258674156520723,0.15377083677662037,0.0619421374410337,0.0062118379945898475,0.36277975414580377,0.48629985636946194,0.48572532994643547,0.4850692719545179,0.4840862706161399,0.48294107920410073,0.48187926856135715,0.4800044006821057,0.4770793302223442,0.47239095933891534,0.46645228102687086,0.4558194902873221,0.44061897622617263,0.41859116313402933,0.380380688522908,0.32419529481248155,0.2319703283117359,0.12870747157779922,0.045585263485154674,0.0037680943142814507,0.3806086746628492,0.4156215977748456,0.41584967697885633,0.41535278624623445,0.41500800606051996,0.41399158611253184,0.4135424848892775,0.4135332098219006,0.4127229256149895,0.41044221223583827,0.407188565815821,0.40273480751985213,0.39331821206252293,0.3831006775410039,0.37283965646024997,0.34695404312077277,0.28845206082472175,0.1837148220932081,0.08416817404188993,0.010240436690977116,0.34730399694242176,0.49363539505411314,0.4932428643526047,0.4927942578365951,0.4921213480625806,0.49133628665956375,0.49060730107104805,0.4893175573375203,0.4872988280154769,0.484046430774407,0.47989682050131777,0.4723826613581562,0.4614478775304211,0.44518589132507147,0.4157460887119385,0.3693713901194415,0.2840800762631077,0.17204059888969886,0.0657769304099142,0.005663657264621769,0.399262750607242,0.9703483245149912,0.9695767195767195,0.968694885361552,0.9673721340388007,0.9658289241622575,0.9643959435626103,0.9618606701940036,0.9578924162257496,0.9514991181657848,0.943342151675485,0.9285714285714286,0.9070767195767195,0.875110229276896,0.8172398589065256,0.7260802469135802,0.5584215167548501,0.33818342151675485,0.1292989417989418,0.0111331569664903,0.7848382530400074,0.42821260581819,0.42843559505085715,0.42816038303903037,0.427989232268581,0.4272636082338774,0.4270026799114415,0.4270513326897069,0.4263854464706334,0.42477187346294965,0.4225393979790883,0.41970917233586175,0.4135795710039355,0.4066571322267391,0.40102084962359,0.38401119952811313,0.3396587660732203,0.24066793233383357,0.12308490961873743,0.016372911340287843,0.3690828736320355,0.8814939228183164,0.8817029098865885,0.8812043728869976,0.8807495614629977,0.8792954099565374,0.8785416433103407,0.8781822752906326,0.8772820221403109,0.8733955671048707,0.8691035965486263,0.8632212934319293,0.8507618243982148,0.8304305821585432,0.7991711372124162,0.7441857313272089,0.6316129360455105,0.44850203553630524,0.22299944161801866,0.03081992708428808,0.7475082205378238,0.7937523520799988,0.7943227675252554,0.7949219662231751,0.7957725460411958,0.7966711422573526,0.7974356050447031,0.7986712567996337,0.8004376952314666,0.8029324952161799,0.8057539107904951,0.8102172088441127,0.8157520561492512,0.8226531677248795,0.8330037546097572,0.8462528514252912,0.8670951423719133,0.8935470346769158,0.9243120808088284,0.9603941687172821,0.8291525896072468,0.45295201910423977,0.4528961092934632,0.45241957079526857,0.4519228909883485,0.45100896734858215,0.45042975300233346,0.44983225774503616,0.44846337414253046,0.4457275937968269,0.4420503343280085,0.43617076953619044,0.4260233023559994,0.4129782277533897,0.3937088123093662,0.35798728638749233,0.2862577220571308,0.17778191139097926,0.07440647906387549,0.007615663047808237,0.3721385812866773,8803.0,8796.0,8788.0,8776.0,8762.0,8749.0,8726.0,8690.0,8632.0,8558.0,8424.0,8229.0,7939.0,7414.0,6587.0,5066.0,3068.0,1173.0,101.0,7120.0526315789475,9030.0,9037.0,9045.0,9057.0,9071.0,9084.0,9107.0,9143.0,9201.0,9275.0,9409.0,9604.0,9894.0,10419.0,11246.0,12767.0,14765.0,16660.0,17732.0,10712.947368421053,269.0,276.0,284.0,296.0,310.0,323.0,346.0,382.0,440.0,514.0,648.0,843.0,1133.0,1658.0,2485.0,4006.0,6004.0,7899.0,8971.0,1951.9473684210527,0.45427017327426683,0.8014931223895675,0.45948522402287895,0.4841025065889082,0.9516093474426808,0.14814814814814814,0.6111111111111112,0.24074074074074073,0.35817249624791886,0.6417394536331537,0.7316666666666667,0.45937483973820703,6919.290125589137,8633,9200,439,93,8,33,13,176.0,600,0.47084185095707115,0.35518420905063647,0.6981922398589065,6334,11499,2738,9072,17833,117,54
MOT16-09,0.42260437706267645,0.8076101556368537,0.34129958673240374,0.42260437706267645,0.42201227781906653,0.42075606119487735,0.4182640321870087,0.41425554043581814,0.41165121687016953,0.4054854504966928,0.3952585867778448,0.38324312800514254,0.3717533947236184,0.36237579787083174,0.3566094519456664,0.3488503167357487,0.33663544897848663,0.3152458706385718,0.27702429233800885,0.20734090361338078,0.10348539600120311,0.017559346567767545,0.33633741527697797,0.49070208728652753,0.48985397307035844,0.48787878787878786,0.48534694649272075,0.47947269303201506,0.4758594777381176,0.46950991395435837,0.45670313369182275,0.4441176470588235,0.4307047896558004,0.41984456894993677,0.4124415677813736,0.4023563013209568,0.385049365303244,0.3582295988934993,0.30976992330776926,0.2269248789629861,0.1052335396736072,0.015380638490370946,0.38659893855489874,0.3639569998573271,0.36356623079681955,0.362868129196491,0.36045307771181967,0.35790912657942187,0.3561066497113028,0.35019164809476044,0.34208074982695563,0.3307125851356057,0.32087079087041975,0.31277341329186126,0.3083353162026549,0.3024596435723662,0.29430882302506817,0.2774197309815723,0.24774018641289386,0.1894470562578792,0.10176629255978285,0.02004667440041585,0.292790164446601,0.4919155411831843,0.49134487350199735,0.49001331557922767,0.4883013125356667,0.4843066387673578,0.4818337454822142,0.47745862659311394,0.4685181662545178,0.4595777059159216,0.44987635533574283,0.441887007799125,0.43637055354765075,0.42876165113182424,0.41544607190412786,0.3941411451398136,0.3534335172151417,0.27639338025489824,0.14228647517595586,0.022636484687083888,0.40497381936866134,0.9949980761831474,0.993843786071566,0.9911504424778761,0.987687572143132,0.9796075413620623,0.9746056175452097,0.9657560600230858,0.9476721816083109,0.929588303193536,0.9099653712966526,0.8938053097345132,0.8826471719892266,0.8672566371681416,0.8403232012312428,0.7972297037322047,0.7148903424393998,0.5590611773759138,0.28780300115429014,0.04578684109272797,0.8191409651485388,0.4748957285525828,0.4745522146983758,0.4739649990498781,0.47169330777527607,0.46956260623998014,0.4677920351601782,0.4629817934340259,0.45495043506184574,0.44594007013355097,0.4356489021621895,0.42715641215205685,0.4231448204768406,0.4159577513588867,0.40731984754215267,0.389599509373395,0.36131702832422724,0.30186911904447067,0.17852140937499383,0.033618976522924345,0.3984466824440965,0.6081465235568256,0.6074819088956425,0.6066061435799174,0.6042092758448292,0.6013147015851762,0.6000399833035135,0.5940252068367233,0.5853109481642225,0.5739600077186336,0.5647116294536839,0.5556896852234309,0.5484628890975378,0.5432777989445017,0.533646083618639,0.5113495207191936,0.47139658126433576,0.37653233016658494,0.23550997970771462,0.06232609696831445,0.5149472260341801,0.8076101556368537,0.8084400859390823,0.8102798894058203,0.8124660985897375,0.8173679537848056,0.8201140610447889,0.8246144811841847,0.83319022059271,0.8410527722339515,0.8488245954901046,0.854652816575713,0.858107735991854,0.8622063519445204,0.8681522594203349,0.8756692846770383,0.8867499593563724,0.9033424227776028,0.9284107347523108,0.9599476693921171,0.8537473446731528,0.4231265821857866,0.42265399995795766,0.42167548554024825,0.4195351128978387,0.41633852341314825,0.41422723331707667,0.40890344012211904,0.40033866365852766,0.38985655207286896,0.379937076277746,0.3717667383167295,0.3668084685631487,0.36011539286571853,0.34967047981276844,0.3306698208991197,0.29590485876281913,0.2288272541863296,0.12033273478175673,0.021302258990350532,0.34431529876958206,2586.0,2583.0,2576.0,2567.0,2546.0,2533.0,2510.0,2463.0,2416.0,2365.0,2323.0,2294.0,2254.0,2184.0,2072.0,1858.0,1453.0,748.0,119.0,2128.9473684210525,2671.0,2674.0,2681.0,2690.0,2711.0,2724.0,2747.0,2794.0,2841.0,2892.0,2934.0,2963.0,3003.0,3073.0,3185.0,3399.0,3804.0,4509.0,5138.0,3128.0526315789475,13.0,16.0,23.0,32.0,53.0,66.0,89.0,136.0,183.0,234.0,276.0,305.0,345.0,415.0,527.0,741.0,1146.0,1851.0,2480.0,470.05263157894734,0.4357998858664638,0.8416382433453038,0.4483545748525775,0.47137150466045274,0.9534436321662177,0.12,0.44,0.44,0.36115266635146714,0.6308553971486762,0.23047619047619047,0.44800845654640636,2085.5795670096627,2478,2779,121,66,3,11,11,54.0,525,0.3981670061099796,0.2975080844588168,0.6017699115044248,1564,3693,1035,2599,5257,26,25
MOT16-11,0.67972113449893,0.8327485546387763,0.5660367923114132,0.67972113449893,0.67972113449893,0.6788362163339384,0.6774781365829963,0.6740898639129366,0.6684049829137982,0.6615267433159399,0.6540273194154402,0.6459491963541707,0.6359494601720217,0.6254455702839916,0.6124715002553488,0.5928835153453457,0.5691289109433517,0.532059757361736,0.47124048425096127,0.36419790913677436,0.18977041784033052,0.0438166388567124,0.5608799416986134,0.7456628828442922,0.7456628828442922,0.7445419520547946,0.7430496150556031,0.7384024741388504,0.7315700021244954,0.7235144850919856,0.7149921094160968,0.7051255230125523,0.6923795681063123,0.6794766124046981,0.6623495818886396,0.6379622186495176,0.6055353097606618,0.5587110346146491,0.4770750271837622,0.3489738497186362,0.17020818377602298,0.03223150962512664,0.6030223590689995,0.6196108607715034,0.6196108607715034,0.61892900371135,0.617693107227602,0.6153786864813724,0.6106937407036631,0.6048498560005414,0.5982607764595789,0.5917391310528002,0.5841185016467539,0.5757110020364886,0.5663494759903187,0.5509900939155256,0.5349113619808401,0.5066797823298388,0.4654772967429782,0.3800861214286991,0.21158096331421355,0.059565867780604,0.5227492889655881,0.7589928057553957,0.7589928057553957,0.7583387835186396,0.7574667538696316,0.7547416612164813,0.750708524089819,0.7459123610202747,0.7407891868323523,0.7347939829954219,0.7269457161543492,0.7188794419010246,0.7079790712884239,0.6920645301940266,0.6701547852626989,0.6369086548942664,0.5739045127534336,0.45966862873337694,0.25844778722476563,0.055482886418138214,0.6453248884146272,0.9769889153921706,0.9769889153921706,0.9761470464431037,0.9750245545110144,0.9715167672232355,0.9663252420373228,0.9601515364108321,0.9535568963098078,0.9458397642766943,0.9357373368878911,0.9253542865160657,0.9113231373649502,0.8908376596043216,0.8626350498105795,0.8198400448996773,0.7387400028062299,0.5916935597025397,0.33267854637294797,0.07141854917917778,0.830673569007407,0.648873638321716,0.648873638321716,0.6484721705793236,0.6477739804713369,0.6463414428084355,0.6436169710235711,0.6396391676241988,0.6352776439778703,0.6312772695637789,0.6262165728932152,0.6206108982785766,0.613493380413917,0.6015420318634889,0.5897717801989473,0.5678054902494188,0.5344216740906949,0.46235603732536534,0.2925570693428032,0.0924795727584643,0.5679684436898337,0.9313384902130262,0.9313384902130262,0.9307409978014594,0.929978603324464,0.9274578823879731,0.9228391061724809,0.917731053867533,0.912282750223929,0.9067234583965639,0.8994164788616849,0.8919789220256545,0.8834820212515095,0.8709501756916865,0.8567131395092366,0.831695436056021,0.7778844621844887,0.6766793764050824,0.4406482322169802,0.1472655949433984,0.8203760353550631,0.8327485546387763,0.8327485546387763,0.8333511590817703,0.8341023044621334,0.8362981224592392,0.8392967366583557,0.8425873465275232,0.8458309595139801,0.849251033179029,0.853289886376694,0.856972427839802,0.8612918154719346,0.866686326655088,0.872991273953608,0.8806542885050535,0.8919462917702197,0.9080446054577938,0.9320088962103311,0.9623674044286792,0.8648667362015151,0.6857697760134076,0.6857697760134076,0.6850969769009849,0.684019000335033,0.6815071034935493,0.6770915719122027,0.6716881599017039,0.6657214989071505,0.6593984781606165,0.6516306027947161,0.6433248043098219,0.6332168475619638,0.6175117006885058,0.5987264892443357,0.5680745889632957,0.5168554161320787,0.41798763885755985,0.23384317776544777,0.05748814031145111,0.5807748288561702,6963.0,6963.0,6957.0,6949.0,6924.0,6887.0,6843.0,6796.0,6741.0,6669.0,6595.0,6495.0,6349.0,6148.0,5843.0,5265.0,4217.0,2371.0,509.0,5920.210526315789,2211.0,2211.0,2217.0,2225.0,2250.0,2287.0,2331.0,2378.0,2433.0,2505.0,2579.0,2679.0,2825.0,3026.0,3331.0,3909.0,4957.0,6803.0,8665.0,3253.7894736842104,164.0,164.0,170.0,178.0,203.0,240.0,284.0,331.0,386.0,458.0,532.0,632.0,778.0,979.0,1284.0,1862.0,2910.0,4756.0,6618.0,1206.7894736842106,0.6805101373446697,0.8529717634013306,0.683998255940702,0.7304338347503815,0.940227304616248,0.2898550724637681,0.5507246376811594,0.15942028985507245,0.5731157386693173,0.8221581498067603,0.47333333333333333,0.6838341890147895,5715.763786552317,6701,2473,426,32,20,38,11,76.0,900,0.6473222501687013,0.5751035535208197,0.7402834292128525,5276,3898,1851,7127,9174,90,69
COMBINED,0.5220383160027255,0.8105007630659837,0.4231124534698902,0.5220383160027255,0.5218705704585213,0.5211028117463411,0.5199628726035297,0.5177187283290935,0.5150561723509142,0.5114123525824673,0.5065001139711256,0.5003786101221812,0.4931277180855531,0.4845178571083897,0.47317839957053215,0.4573785581740787,0.43542188393609194,0.39901170074318254,0.3353766353789022,0.24019014481357814,0.120268827864178,0.025890403946354067,0.42633698304146,0.5610516661571385,0.5605745721271393,0.5595736232857884,0.558193469636863,0.5553457203777034,0.5523667649651902,0.5481308552890883,0.5420529701325764,0.53463769422655,0.5256050194203764,0.51429418742586,0.49988250499353776,0.47920046349942064,0.445860233322007,0.39666301969365425,0.3135595400406452,0.2064549664492959,0.09176822749625828,0.014483539626090239,0.44524731779816756,0.48573780244087794,0.4858388265405181,0.4852768770897839,0.4843506841131626,0.48264112214711685,0.480265789875125,0.4771535699007389,0.4732791435309682,0.46831481612987264,0.46265719953061285,0.4564655008681161,0.4479008478662893,0.4365503821714312,0.4252279141331924,0.401374288565963,0.3587117379477379,0.2794377227042212,0.15762090377536225,0.0462810220298568,0.410267692176892,0.5688073394495413,0.5684973964790478,0.5678465162410117,0.5669476816265807,0.5650880238036201,0.5631353830895115,0.5603458963550707,0.5563166377386561,0.5513575502107613,0.5452516736920406,0.537503099429705,0.5274609471857178,0.5127076617902306,0.48803620133895365,0.449479295809571,0.37778948673444085,0.27082816761715844,0.13302752293577982,0.02259484254897099,0.47015901705665114,0.9762740717097563,0.975742100223428,0.9746249601021385,0.9730822427917863,0.9698904138738164,0.9665389935099479,0.9617512501329929,0.9548356208107246,0.9463240770294712,0.9358442387488031,0.9225449515905948,0.9053090754335568,0.8799872326843281,0.8376423023725929,0.7714650494733483,0.6484200446856049,0.4648366847536972,0.22832216193212043,0.03878072135333546,0.8069587470111601,0.518512590817819,0.5186127471522927,0.5182592748441591,0.5176170792556047,0.5163700241793457,0.5147973884663584,0.5125053960187057,0.5093977001426674,0.5059003932376341,0.5015143330004245,0.4971077896052209,0.49116700045561457,0.48272337713772834,0.47559202532735206,0.45886218688737485,0.42708741173524134,0.3578325080994373,0.22636659473603465,0.0723270573191432,0.45381857254832403,0.86188795879691,0.8619286050263427,0.8614053041044459,0.8606431596870021,0.8587676607025759,0.8565058637921651,0.8537007248720484,0.8504693970833809,0.8453572852295631,0.8396737198982311,0.8329629976590817,0.8225002143960053,0.8068552300836719,0.7848094906400831,0.7461773584373069,0.6703722762652411,0.5466539998921566,0.3454139721402065,0.1172672235952432,0.7485974969632454,0.8105007630659837,0.8108980477092245,0.8116739942148645,0.8126764297422238,0.8146105506089738,0.8164648384902116,0.8188955665077575,0.8221192426173212,0.8256618141032731,0.8295647106142182,0.8339500300894753,0.8388420001120999,0.8449430603182155,0.8534919804088361,0.8643164596555126,0.8808255510632914,0.9021724586747711,0.9292782836202654,0.9616990295642046,0.8464518321674065,0.5256341190186028,0.5255455337044739,0.5249407433870527,0.5240243290651742,0.5222400960482408,0.5200525546193532,0.5170793409381692,0.5131209037263821,0.508142607688796,0.5022595070177757,0.49532981083248473,0.4860557637358486,0.47309906541521096,0.45555089278460426,0.4247463155587069,0.3681270478583381,0.275099266453213,0.1448030330902476,0.03233747679968356,0.4388520214601242,18352.0,18342.0,18321.0,18292.0,18232.0,18169.0,18079.0,17949.0,17789.0,17592.0,17342.0,17018.0,16542.0,15746.0,14502.0,12189.0,8738.0,4292.0,729.0,15169.21052631579,13912.0,13922.0,13943.0,13972.0,14032.0,14095.0,14185.0,14315.0,14475.0,14672.0,14922.0,15246.0,15722.0,16518.0,17762.0,20075.0,23526.0,27972.0,31535.0,17094.78947368421,446.0,456.0,477.0,506.0,566.0,629.0,719.0,849.0,1009.0,1206.0,1456.0,1780.0,2256.0,3052.0,4296.0,6609.0,10060.0,14506.0,18069.0,3628.7894736842104,0.5155901314158194,0.8264447271025778,0.521510042152244,0.5520704190428961,0.9475476114480264,0.20945945945945946,0.5540540540540541,0.23648648648648649,0.4197753991802354,0.6976616662097058,0.48691358024691356,0.5214393431264801,14720.633479151114,17812,14452,986,191,31,82,35,306.0,2025,0.5160001566722807,0.4083188693280436,0.7008192360889456,13174,19090,5624,18798,32264,233,148
